arise,起こる・生じる
crucify,はりつけにする・苦しめる
indispensable,必要不可欠な
principal,主要な・重要な・校長
primary,最初の・重要な
count,数える・重要である
result,結果・（結果）となる
trigger,引き起こす
contribute,寄付する・原因となる
amount,達する
responsible,責任がある・原因となる
stem,茎・起こる・派生する
attribute,（結果など）を（〜に）帰する
ascribe,（結果など）を（〜に）帰する
outcome,結果
consequence,結果
implication,暗示・影響
represent,表す・代表する
involve,巻き込む・含む
refer,言及する・参照する
signify,意味する
bottom,底・結論
shed,（涙・血を）流す・当てる
emphasize,強調する
emphasis,強調
stress,強調する・ストレス
relate,関係づける・関係する
related,関係がある・親戚の
relevant,関係がある
irrelevant,無関係の
conventional,従来の
previous,以前の
precviously,以前は
initial,最初の・初期の
initially,最初は
old-fashioned,時代遅れの
challenge,挑戦する・異議を唱える
counter,反論する
contradict,反論する・矛盾する
contrary,反対の・反して
reject,拒絶する
dispute,議論する
opponent,相手・反対側
satisfaction,満足
chuckle,クスッと笑う
courtesy,礼儀正しさ
grace,上品
tender,優しい
humble,謙虚な
reserved,控えめな
integrity,完全・誠実
discreet,思慮分別のある
cherish,大切にする
stunning,驚くほどの
tribute,賛辞・感謝
zeal,熱意
discriminating,目が利く
reassure,安心させる
compassion,同情・哀れみ
sympathy,同情・共感
antipathy,反感
virtue,美徳・長所
vice,悪・欠点・副〜
resent,憤慨する
furious,激怒した・猛烈な
temper,機嫌
curse,呪う・呪い
malice,悪意
detest,酷く嫌う
betray,裏切る
frown,眉をひそめる
scorn,軽蔑・軽蔑する
mock,からかう
ridiculous,馬鹿げた
sneer,嘲笑う・冷笑
sorrow,悲しみ
weep,泣く
lament,嘆く
mercy,慈悲
anxiety,心配・切望
distress,苦悩
lonely,孤独な
dismay,落胆・狼狽
console,慰める
shiver,震える
fear,恐怖・怖がる
awful,恐ろしい・ひどい
appall,ゾッとさせる
clumsy,不器用な・ぎこちない
greed,強欲
stern,厳しい
harsh,厳しい
stubborn,頑固な
timid,臆病な
conceit,うぬぼれ
hypocrisy,偽善
tense,緊張した
naughty,行儀が悪い
obsess,取り除く
tolerate,我慢する
tolerance,忍耐
evoke,呼び起こす
provoke,引き起こす・怒らせる
induce,引き起こす
decisive,決定的な
wary,用心深い
impulse,衝動
persist,続く・固執する
distort,歪める
repress,抑える
spontaneous,自発的な
creep,這う・ゆっくり動く
penetrate,貫く・入り込む
gaze,じっと見る
glance,チラッと見る
glimpse,チラッと見る
vanish,消える
funeral,葬式
grave,墓
footprint,足跡
reply,返信する
scroll,スクロールする
skim,拾い読みする
shatter,粉々に割る
persona,ペルソナ
face-to-face,面と向かっての・面と向かって
multitask,同時に複数のことをする
shallow,浅い
well-informed,十分に情報を得た
personal information,個人情報
big data,ビッグデータ
query,質問・質問する
privacy,プライバシー
exploit,利用する・搾取する
socialize,打ち解けて付き合う
load,詰め込む
upload,アップロードする
freedom,自由
reputable,評判が良い
anonymous,匿名の
cyberbullying,ネット上でのいじめ
censor,検閲する
censorship,検閲
netiquette,ネチケット
web-related,ネット関連の
intrude,侵入する
monitor,監視する・モニター
disclose,明らかにする
isolate,孤立させる
addictive,中毒性の
vicious,悪意のある
degrade,価値を下げる
vulnerable,もろい
suppress,抑える
searchable,検索可能な
electronic,電子の・インターネットでの
electronically,インターネットで
browse,閲覧する
virtual,仮装の・事実上の
mobile,移動可能な
AI,人工知能
log,記録する・ログインする・丸太
sign,目印・署名する
click,カチッという音・クリックする
forward,前方の・前方へ・転送する
bounce,跳ねる・返送される
post,柱・貼る・投稿する
entry,記事
emoji,絵文字
attach,くっつける・添付する
enclose,同封する
fingerprint,指紋
track,跡・跡を追う
transmit,おくる
boom,ブームになる・好景気
divert,そらす
distract,（注意などを）そらす
distraction,気をそらすもの・気晴らし
bump,ぶつかる
prevail,普及している
prevalent,普及して
widespread,広く行き渡った
touchscreen,タッチパネル
drone,ドローン
facial,顔の
Internat access,インターネット・アクセス
monetize,収益化する
satellite,衛星
planet,惑星
galaxy,銀河系
orbit,軌道・軌道を回る
sphere,球体
hemisphere,半球
probe,名：調査、動：調べる
asteroid,小惑星
debris,残骸
retrieve,回収する
astronomy,天文学
collision,衝突
enterprise,企業
entrepreneur,起業家
firm,名：会社、形：固い
experienced,経験豊富な
dismiss,解雇する
recruit,動：新しく募集する、名：新入生
criteria,基準
competent,有能な
résumé,履歴書
resume,再開する
unemployment,失業
engage,従事させる
overwhelm,圧倒する
workaholic,仕事中毒の人
monotonous,単調な
manual,形：手の、名：取扱説明書
occupation,占有、職業
applicant,応募者
enlarge,拡大する
committee,委員会
strategy,戦略
phase,段階
beneficial,利益になる
defect,不足
deficient,不足している
lower,動：下げる、副：低く
pursue,追求する
ensure,確実にする
prompt,素早い
predecessor,前任者
initiative,主導権
implement,実行する
merger,合併
assess,評価する
collaborate,協力する
negotiate,交渉する
competition,競争
competitive,競争力がある
undertake,引き受ける
transition,移り変わり
agent,仲介者
enhance,高める
surpass,超える
output,生産
inspect,検査する
exceed,超える
norm,規範
productive,生産性がある
agenda,議題
constitute,構成する
transfer,移す
stereotype,固定観念
spatial,空間の
esteem,動：高く評価する、名：尊敬
self-esteem,自尊心
politically,政治的に
firefighter,消防士
salesperson,店員
toddler,よちよち歩きの幼児
statistical,統計の
disparity,不釣り合い
subsidize,補助金を与える
bomb,爆弾
counterproductive,逆効果の
immigrant,移民
migrant,移住者
migrate,移住する
emigrate,（他国へ）移住する
boundary,境界
embrace,抱きしめる
shelter,避難
restrict,制限する
dilemma,ジレンマ
asylum,亡命
sanctuary,聖域
relocate,移住する
breadwinner,稼ぎ手
guardian,保護者
supervisor,監督
consistent,首尾一貫している
inconsistent,一貫性がない
living standard,生活水準
self-confidence,自信
would-be,〜になるつもりの
right-wing,右翼の
multicultual,他文化の
Muslim,名：イスラム教徒、形：イスラム教の
assimilate,同化する
citizenship,市民権
shortage,不足
mortal,死ぬ運命の
mortality,死亡
fatal,致命的な
remedy,治療
plague,疫病
germ,細菌
microbe,微生物
epidemic,名：伝染病、形：伝染性の
vein,血管
immune,免疫がある
infection,感染
pill,錠剤
stroke,一撃、発作
organ,臓器
transplant,動：移植する、名；移植
recipient,受け取る人
tuberculosis,結核
suffer,苦しむ
weaken,弱める
unedermine,むしばむ
dignity,威厳
ethical,倫理的な
moral,名：道徳、形：道徳上の
AIDS,エイズ
HIV,ヒト免疫不全ウイルス
inflict,与える
saliva,唾液
regenerative,再生力がある
coma,昏睡
autism,自閉症
well-being,幸福
nourish,栄養を与える
malnourished,栄養失調の
obesity,肥満
metabolic,新陳代謝の
diabetes,糖尿病
nutrition,栄養
supplement,名：補足、動：補う
expectancy,予想
prolong,長引かせる
alcoholism,アルコール依存症
sober,しらふの
ease,動：和らぐ、名：容易さ
wrinkle,しわ
slim,わずかな
slender,スレンダーな
skinny,やせこけた
posture,姿勢
reinforce,補強する
cognitive,認識の
osteoporosis,骨粗しょう症
remark,動：述べる、名：意見
utter,発する
symbolize,象徴する
flatter,お世辞を言う
disregard,無視する
dis,ディスる
irony,皮肉
superficial,表面的な
gratitude,感謝
greet,あいさつする
mumble,ぶつぶつ言う
mutter,つぶやく
fellow,仲間
companion,仲間
anniversary,記念日
acquaintance,知人
celebrity,有名人
bond,絆
nod,うなずく
collective,集めた
straightforward,まっすぐな
outlook,見通し
conceal,隠す
deceive,だます
capture,捕まえる
passive,受動的な
retain,保持する
manipulate,操作する
integrate,統合する
Starbucks,スターバックス
aging society,高齢化社会
stray,動：はぐれる、形：道に迷った
workforce,労働人口
pension,年金
welfare,福祉
shrink,縮む
confine,限定する
reunion,再会
one-child policy,一人っ子政策
demographic,人口統計の
elderly,年配の
healthcare,名：健康管理、形：健康管理の
terminal,形：終点の、名：終点
terminate,終わらせる
gloomy,薄暗い
compensate,埋め合わせをする
spouse,配偶者
dementia,認知症
impaired,障害がある
agony,苦痛
misidentify,誤認する
around the clock,２４時間休みなしで
nanobot,ナノボット
brown rice,玄米
meditate,じっくり考える
neural,神経の
Alzheimer,アルツハイマー
wane,衰える
gluten,グルテン
adolescence,青春期
immature,未熟な
Arctic,北極の
Antarctic,南極の
glacier,氷河
layer,層
ray,光線
ultraviolet,紫外線の
emit,発する
emission,排出
measure,動：測る、名：対策
protocol,議定書
Paris agreement,パリ協定
preserve,保存する
preservation,保護
deforestation,森林伐採
landscape,風景
hazard,危険
poison,毒
circulation,循環
erosion,侵食
reckless,無謀な
catastrophe,大災害
drought,干ばつ
humid,湿気のある
moist,湿った
mist,霧
tide,潮
soak,浸す
forecast,動：予想する、名：予想
shade,日陰
erupt,噴火する
alternative,代わりの
alternate,交互の
alter,変える
generate,生み出す
abundant,豊富な
scarce,乏しい
sustain,持続させる
sustainable,持続可能な
renewable,再生可能な
finite,有限の
infinite,無限の
limitation,制限
mineral,名：ミネラル、形：鉱物の
mine,鉱山
ecology,生態
ecological,生態の
ecosystem,生態系
habitat,生息地
habitable,住むことができる
dinosaur,恐竜
pelvis,骨盤
reptile,名：爬虫類、形：爬虫類の
revive,復活する
reproduce,再生する
inherent,本来備わっている
mutation,突然変異
prey,名：獲物、動：捕食する
biological,生物学上の
descend,降りる
hive,ミツバチの巣
nest,名：巣
herd,群れ
flock,名：群れ、動：集まる
heredity,遺伝
protein,タンパク質
characteristic,特徴
mankind,人類
endangered,絶滅の危機にある
threatened,絶滅の危機に瀕した
bite,動：噛む、名：噛むこと
inherit,相続する
offspring,子、子孫
creature,生き物
identical,同じ
microscope,顕微鏡
nerve,神経
vessel,容器、菅
seed,名：種、動：種をまく
skeleton,骨格
specimen,見本
tissure,組織
wildlife,野生動物
hybrid,雑種
breed,動：育てる、名：品種
visible,目に見える
parasite,寄生虫
fossilized,化石化した
skull,頭蓋骨
nonverbal,言葉を使わない
evolution,進化
paleontologist,古生物学者
sort,動：分類する、名：種類
vice versa,逆も同様である
handful,一握りの量
clone,動：クローンを作る、名：クローン
innumerable,数え切れないほどの
myriad,無数
geologist,地質学者
anatomy,解剖
kingdum,王国
mammoth,名：マンモス、形：巨大な
mimic,真似する
incorporate,取り入れる
genetic,遺伝子の
makeup,構造
utmost,最大限の
clinical,臨床の
ozone layer,オゾン層
greenhouse,名：温室、形：温室効果の
profit,利益
slang,俗語
agriculture,農業
harvest,名：収穫、動：収穫する
crop,名：作物、動：刈る
wheat,小麦
fertile,肥沃な
fertility,肥沃
soil,土
pesticide,殺虫剤
atom,原子
molecule,分子
particle,小さな粒
mixture,混合
solid,個体の
fluid,名：流動体、形：流動体の
vapor,蒸気
evaporate,蒸発する
melt,溶ける
vacuum,真空
float,浮かぶ
universal,全世界の
LED,発光ダイオード
identify,確認する
reveal,明らかにする
detect,見つける
observation,観察
humanoid,形：ヒトの形をした、名；人型ロボット
gimmick,しかけ
linguistic,言語の
bilingual,名：２言語を使う人、形：２言語を使う
usage,使用
obscure,あいまいな
ambiguous,あいまいな
embody,具体化する
dwindle,どんどん小さくなる
vowel,母音
consonant,子音
widely,広く
deterioration,悪化
metaphor,比喩
lingua franca,リンガフランカ（国際共通語）
multilingual,形：多言語の、名：多言語を話す人
intake,摂取量、受け入れ
inhabitant,住民
ongoing,進行している
proficiency,技能
primate,霊長類
privilege,特権
civil,市民の、国民の
authority,権威
authorize,権限を与える
campaign,運動
congress,議会
parliament,議会
council,評議会
ambassador,大使
corrupt,形：堕落した、動：堕落させる
bribe,ワイロ
neutral,中立の
radical,根本的な
resort,動：訴える、名：リゾート地
statement,主張、声明
administration,管理、政府
rebel,反逆者
utility,実用性
impose,課す
consensus,意見の一致
manifest,形：明らかな、動：明らかにする
monetary,通貨の
invest,投資する
merchant,商人
merchandise,商品
dispense,分配する
thrive,繁栄する
monopoly,独占
excess,過剰
infrastructure,インフラ
surplus,余剰
deficit,不足
stagnant,停滞した
recession,不況
affluent,裕福な
wealth,富
extravagant,法外な
prosperous,繁栄している
revenue,収入
accelerate,加速する
stockholder,株主
transact,取引する
asset,財産
estate,財産
insure,保険をかける
insurance,保険
commerce,商業
bargain,取引、契約
anticipate,予想する
loss,失うこと
worsen,悪化させる
surge,急に上がる
bulk,容積
influential,影響力がある
famine,飢饉
hygiene,衛生
incentive,刺激、動機
discrimination,差別
folk,人々
folklore,民間伝承
fairy,名：妖精、形：妖精の
superstition,迷信
taboo,タブー
tribe,部族
homogeneous,均質の
legacy,遺産
animate,元気付ける
peculiar,特有の
mode,方法、様式
mutual,お互いの
alien,形：なじみがない、名：外国人
alienated,疎外された
solemn,厳粛な
eliminate,取り除く
confess,白状する
creed,信条、宗教
convert,変える
destiny,運命
fate,運命
sin,罪
foretell,矛盾する
divine,神の
pledge,誓う
eternal,永遠の
persecute,迫害する
stir,かき回す
priest,聖職者
ritual,儀式
restrain,抑える
obligation,義務
disabled,障害がある
collapse,崩壊する
oppress,圧迫する
juvenile,少年の
obsolete,廃れた
undergo,受ける、経験する
underlie,根底にある
urban,都会の
suburban,郊外の
fuel,名：燃料、動：煽る
stumble,つまづく
casualty,犠牲者
power,強国
invade,侵略する
hostage,人質
army,陸軍
conflict,名：争い、動：矛盾する
dominant,支配的な
intervene,干渉する
surrender,降伏する
unify,統合する
treaty,条約
terror,恐怖
summit,頂上
colony,植民地
incident,事件
friction,摩擦
republic,共和国
federal,連邦の
versus,〜対・・
coincide,同時に起こる
defend,防御する
hostile,敵意がある
enemy,敵
complicated,複雑な
evidence,証拠
extract,動：引き出す、名：エキス
infer,推察する
classify,分類する
skeptical,疑って
equation,方程式
formula,公式、方法
logical,論理的な
arbitrary,恣意的な、気まぐれな
focus,動：重点を置く、名：焦点
quest,探究
uncover,暴露する
clue,手がかり
extensive,広範囲に渡る
sociology,社会学
anthropology,人類学
archaeology,考古学
theology,神学
psychology,心理学
geography,地理学
domain,領域
interdisciplinary,学際的な
era,時代
prehistoric,有史以前の
primitive,原始的な
medieval,中世の
revival,復興
contemporary,現代の
monarchy,君主制
tragedy,悲劇
trace,跡
subsequent,次に続く
qualify,資格を与える
disqualified,出場資格がない
feasibility,実現可能性
outsmart,知性で負かす
imitate,まねる
nurture,動：育てる、名：養育
innate,生まれながらの
talent,才能
talented,才能のある
trait,特徴
practical,実用的な
negligence,不注意
formation,形成
promising,前途有望な
ignorance,無知
pose,置く、提起する
comprehend,理解する
comprehensive,広範囲に渡る
foster,育てる
discern,見分ける
interact,交流する
question,名：質問、動：質問する、疑問に思う
intellect,知性
intellectual,知的な
broaden,広くする
widen,広くする
enlighten,啓蒙する
awaken,目覚めさせる
blossom,名：花、動：開花する
flourish,繁栄する
misbehavior,非行
readily,すぐに
trustworthy,信用できる
stream,ストリーミング配信する
TED Talks,TEDトーク
schooling,学校教育
Mozart,モーツァルト
newborn,名：生まれたばかりの赤ちゃん、形：生まれたばかりの
theorize,理論を立てる
boost,高める
grit,根性
unprecedented,前例のない
illegal,違法の
legislation,法律
enact,通過させる
enforce,施行する
regulate,規制する
regulation,規制、規則
jury,陪審
compliance,従うこと
comply,従う
witness,名：目撃者、動；目撃する
supreme,最高の
testify,証言する
testimony,証言
contract,契約
exception,例外
exceptional,例外的な
adherence,固守
abide,従う
patent,特許
murder,名：殺人、動：殺害する
arrest,逮捕する
criminal,犯人
theft,窃盗
jail,刑務所
violate,違反する
violation,違反
notorious,悪名高い
infamous,悪名高い
brand-new,真新しい
improvise,即興で作る
fruitful,実り多い
synthesize,統合する
by-product,副産物
intensive,集中的な
stimulate,刺激する
stimulating,刺激的な
ingenious,独創的な
enrich,豊かにする
novel,形：目新しい、名：小説
innovation,革新
innovative,革新的な
ponder,熟考する
perspective,視点
pop,急に現れる
intuition,直感
insight,洞察力
cling,くっつく
artistic,芸術的な
depict,描く
decorate,装飾する
gallery,美術館
masterpiece,傑作
sculpture,彫刻
sculptor,彫刻家
monument,記念碑
antique,古風な
authentic,本物の
shoot,名：撮影、動：撮影する
filming,撮影
erect,建てる
prominent,目立つ
clay,粘土
splendid,素晴らしい
revise,変える
version,○○版
poet,詩人
criticism,批判
manuscript,原稿
duplication,複製
edit,編集する
edition,（刊行物の）版
abandon,捨てる
dispose,処分する
litter,ゴミ
rubbish,ゴミ
steer,操縦する
lag,動：遅れる、名：遅れ
carriage,馬車
crash,衝突する
voyage,航海
wheel,名：車輪、動：動かす
leak,漏らす
claim,動：主張する、名：主張
headline,見出し
medium,中間、媒体、手段
reportedly,伝えられるところでは
allege,主張する
allegedly,伝えられるところでは
highlight,目立たせる
inequality,不平等
body,体、死体
riot,暴動
informal,形式ばらない
coodinate,調和させる
ordinary,普通の
extraordinary,並外れた
definite,はっきりした
delicate,敏感な
appropriate,適切な
dynamic,動的な
transparent,透明な
swift,すばやい
trivial,些細な
simultaneous,同時の
rational,理性的な
profound,深い
entire,全体の
unconditionally,無条件に
numerous,数多くの
ample,広い
scale,規模
immense,計り知れない
tremendous,とてつもない
maximum,最大限
maximize,最大にする
minimum,最小限
minimize,最小にする
multitude,多数
substantial,かなりの
sufficient,十分な
adequate,十分な
slight,わずかな
label,名：ラベル、動：ラベルを貼る
chaos,混乱
disguise,変装させる
cleanse,きれいにする
deaf,耳が聞こえない
dread,恐れる
realm,領域
weary,疲れ果てた
rear,動：育てる、名：後ろ
wander,歩き回る
calm,形：冷静な、動：落ち着く
country,国、田舎
crawl,這う
worship,動：崇拝する、名：崇拝
sew,縫う
pour,注ぐ
ethics,倫理
aesthetic,美的な
enthusiasm,熱中
ostrich,ダチョウ
mechanic,修理工
architect,建築家
scheme,計画
epoch,時代、画期的な出来事
gigantic,巨大な
fatigue,疲労
cease,やめる
resign,辞任する
exaggerate,誇張する
executive,名：重役、形：実行する立場の
execute,実行する
luxury,贅沢（品）
learned,学識がある
naked,裸の
triumph,名：勝利、動：勝利する
extinguish,消す
subtle,微細な
heir,相続人
soften,柔らかくする
insult,名：侮辱、動：侮辱する
protest,名：抗議、動：抗議する
consent,名：同意、動：同意する
neglect,名：無視、動：無視する・怠る
expense,費用
conquer,征服する
distinct,はっきりした・異なった
distinctive,特徴的な
sincere,誠実な
concise,簡潔な
photograph,名：写真、動：写真を撮る
photography,写真撮影
photographer,写真家
empire,帝国
olive,オリーブ
region,地域
decent,きちんとした
marine,海の
contemplate,熟考する
enormous,巨大な
compromise,名：妥協、動：妥協する
hypothesis,仮説
engineering,工学
engineer,エンジニア
radius,半径
diameter,直径
diligent,勤勉な
permanent,永久の
elder,年上の
profession,職業
examinee,被験者
principle,原理・信念
such,形：そのような、代：そのような人
brand,ブランド
childhood,子供の頃
motivation,モチベーション、動機
motivate,やる気にさせる
aptitude,適性
irreplaceable,取り替えられない
sibling,きょうだい
household,名：家族、形：家族の
hero,英雄
heroine,ヒロイン
author,作家
say,言う・例えば
definitely,絶対に
absolutely,その通り・ぜひ
likewise,同じように
possibly,ひょっとしたら
precisely,正確に
envy,うらやむ
luck,幸運
sake,目的
bet,動：賭ける、名：賭け
hate,嫌う
brief,名：要約、形：短い
slip,滑る
tip,先端・助言
token,しるし
happen,起こる
split,分割する
shrug,肩をすくめる
plastic,プラスチックの
clarify,明確にする
coincidence,偶然の一致
specific,特定の
one hundred percent,副：100%、名：100%
must,名：必須のもの、助：〜しなければならない
inconvenience,不便
busy,忙しい
weird,変な
unexpected,思いがけない
quarter,４分の１
burst,破裂する
recipe,レシピ
thirsty,喉が渇いた
narrow,狭い
apparent,明らかな
unwind,ほどく
melancholy,憂鬱
vomit,吐く
disagree,意見が合わない
vague,漠然とした
challenging,やりがいのある
swing,揺らす
valuable,価値のある
worthwhile,価値がある
precious,貴重な
sacrifice,名：犠牲、動：犠牲にする
engaging,魅力のある
hug,抱きしめる
interfere,干渉する
cottage,別荘
pedestrian,歩行者
tighten,しっかり締める
puncture,パンク
haunt,よく行く
pharmacy,薬局
villa,別荘
parlor,店
expire,期限が切れる
renew,更新する
commute,通勤、通学する
commemorate,祝う
humiliate,恥をかかせる
offend,気分を害する
mood,気分
hold,つかむ
brilliant,光り輝く
terrific,ものすごい
fabulous,素晴らしい
superb,素晴らしい
slightly,わずかに
relative,形：相対的な、名：親戚
technically,技術的に
round-trip,往復旅行の
board,名：板、動：乗る
gratuity,チップ
declare,宣言する
valid,有効な
excursion,遠足
expedition,探検
equivalent,等しい
equator,赤道
peninsula,半島
square,正方形
fragile,壊れやすい
mass,多数
alert,形：警戒した、名：警戒
lost,紛失した
exchange,動：交換する、名：交換
locate,置く
district,地区
exotic,異国風の
signature,署名
pickup,迎えに行くこと
departure,出発
flush,水で流す
flight,フライト
confirm,裏付ける
reschedule,予定を変更する
avenue,大通り
destination,目的地
bind,束ねる
bound,縛られた
inn,旅館
house,動：収容する、名：家
accomodate,収容できる
accomodation,宿泊施設
magnificient,壮大な
home,生息地
Mediterranean,地中海の
basement,地下
valuables,貴重品
belongings,所有物
souvenir,記念品
currency,通貨
appetite,食欲
flavor,味
restroom,お手洗い
lavatory,お手洗い
vacant,空いている
tag,札
check,検査、伝票
genuine,本物の
budget,予算
department,部門
receipt,領収書、受け取ること
cashier,レジ係
credit,信用
length,長さ
complimentary,無料の
pale,青ざめた
dose,服用量
dizzy,めまいがする
drowsiness,眠気
manga,漫画
geek,オタク
karaoke,カラオケ
the Self-Defence Forces,自衛隊
Article 9,憲法第９条
the Northern Territories,北方領土
legalise,合法化する
prohibit,禁止する
ban,禁止する
forbid,禁止する
deity,神
enshrine,祭る
reign,名：統治、動：統治する
pagoda,塔
castle,城
tomb,墓
shogunate,将軍の職
constitution,構成、憲法
feudal,封建的な
Pacific,太平洋の
Atlantic,大西洋の
