1,11
12,23
24,34
35,42
43,53
54,68
69,83
84,94
95,105
106,116
117,128
129,139
140,150
151,163
164,173
174,180
181,191
192,203
204,216
217,225
226,235
236,245
246,258
259,271
272,279
280,292
293,305
306,315
316,327
328,339
340,351
352,364
365,379
380,393
394,407
408,422
423,436
437,448
449,460
461,473
474,486
487,501
502,513
514,523
524,538
539,521
522,564
565,574
575,588
589,603
604,625
626,651
652,675
676,703
704,729
730,757
758,780
781,806
807,830
831,855
